delta_t,transitivity,average_clustering,mean_common_neighbors,mean_distinct_neighbors,SCDModel coefs,SCDOModel coefs,SCDModel MSE,SCDModel AUPRC,SCDOModel MSE,SCDOModel AUPRC
600,0.4952046348671977,0.5347555956050046,23.04234972677596,93.06193078324226,"(0.4, 0.3, 0.3)","(0.4, 0.1, 0.5)",48.083167088286416,0.7577490367582609,47.845939835413006,0.7602794418815766
1800,0.4952046348671977,0.5347555956050046,23.04234972677596,93.06193078324226,"(0.4, 0.5, 0.1)","(0.4, 0.1, 0.5)",363.4615038081583,0.835280510658934,360.2211935729883,0.8357512900551114
3600,0.4952046348671977,0.5347555956050046,23.04234972677596,93.06193078324226,"(0.4, 0.5, 0.1)","(0.4, 0.1, 0.5)",1036.687843367714,0.8419846795688378,1030.5518449398962,0.8418724935110141
600,0.2359026330382239,0.2817613806101429,15.47767903815996,131.2209095661265,"(0.4, 0.2, 0.4)","(0.4, 0.1, 0.5)",146.9996449504956,0.7717309938156631,146.89306749549309,0.7731644340436433
1800,0.2359026330382239,0.2817613806101429,15.47767903815996,131.2209095661265,"(0.4, 0.2, 0.4)","(0.4, 0.1, 0.5)",1101.6480228606265,0.7827187325374817,1091.3411660083884,0.7833178067631357
3600,0.2359026330382239,0.2817613806101429,15.47767903815996,131.2209095661265,"(0.2, 0.2, 0.6)","(0.2, 0.2, 0.6)",3740.408788107476,0.780018536248244,3621.1117088931887,0.7798804109114397
3600,0.0567395781080867,0.108977876924111,2.881830372108616,101.5809587663426,"(0.2, 0.4, 0.4)","(0.2, 0.2, 0.6)",2.9920376383508085,0.391765541226813,2.775500913749053,0.385747513952653
86400,0.0567395781080867,0.108977876924111,2.881830372108616,101.5809587663426,"(0.4, 0.3, 0.3)","(0.4, 0.1, 0.5)",230.38813433418323,0.8333497629106247,222.72330944611548,0.8305295337131066
259200,0.0567395781080867,0.108977876924111,2.881830372108616,101.5809587663426,"(0.4, 0.3, 0.3)","(0.4, 0.1, 0.5)",1132.6693638184993,0.8809017360346134,1073.2501103803254,0.8788340813812907
3600,0.0299885705992271,0.0475196355152482,0.7097466723915844,47.3344783168742,"(0.2, 0.4, 0.4)","(0.4, 0.1, 0.5)",0.4020650129118282,0.2689948104333123,0.3789801325748608,0.2896134263758189
86400,0.0299885705992271,0.0475196355152482,0.7097466723915844,47.3344783168742,"(0.6, 0.2, 0.2)","(0.6, 0.1, 0.3)",34.50586343364522,0.690132794017896,34.36363393699017,0.6914195957269844
259200,0.0299885705992271,0.0475196355152482,0.7097466723915844,47.3344783168742,"(0.6, 0.1, 0.3)","(0.8, 0.1, 0.1)",103.54190593480898,0.7938346905083019,102.7531573558064,0.8053291616999316
3600,0.2959697732997481,0.3679477254771372,3.804713804713805,18.05050505050505,"(0.4, 0.5, 0.1)","(0.6, 0.3, 0.1)",0.6536978292009373,0.2410703264340183,0.6108355348728836,0.2224425497280369
86400,0.2959697732997481,0.3679477254771372,3.804713804713805,18.05050505050505,"(0.6, 0.2, 0.2)","(0.8, 0, 0.2)",11.932558323312806,0.7184656652197724,11.920286464106672,0.719594088970322
259200,0.2959697732997481,0.3679477254771372,3.804713804713805,18.05050505050505,"(0.8, 0.1, 0.1)","(0.8, 0, 0.2)",43.521880807120105,0.8634968984825687,43.32879787268928,0.8631551706229317
3600,0.3448275862068966,0.1341269841269841,2.359375,5.015625,"(0.4, 0.5, 0.1)","(0.6, 0.1, 0.3)",3.494952606590635,0.5409840263345072,3.908241477634512,0.5317587413939799
86400,0.3448275862068966,0.1341269841269841,2.359375,5.015625,"(0.4, 0.5, 0.1)","(0.6, 0.2, 0.2)",302.80344241238765,0.6428036462843579,301.9602201860084,0.6440687584919239
259200,0.3448275862068966,0.1341269841269841,2.359375,5.015625,"(0.6, 0.4, 0)","(0.6, 0.2, 0.2)",1456.399342426815,0.7629090099108377,1452.9446887066429,0.7555879639864209
